id,numCompanies,title,genre,family_genre,version,UL note
1124405,52,iFamous,SOCIAL,NA,1.04,"aggregating app, bringing together facebook, linkedin, etc in the same interface"
121736,45,"Newspaper World :News,Websites",NEWS_AND_MAGAZINES,NA,18/05/2017,"store link doesn't work anymore, but seems to be a newspaper aggregator"
754185,45,Bookmarks FreeGB,TOOLS,NA,04/08/2017,bookmarker
17093,36,Social Networks All in One,SOCIAL,NA,2.4.20,access all social media from one app
35722,35,RF Tracker GSM,TOOLS,NA,1,for tracking cellphone signal connectivity
191817,35,All Social Network Access,DATING,NA,5.2.3,access all social media from one app
175158,33,Star Girl Chic Boutique,GAME_CASUAL,NA,1.0.0,game
244497,32,Little Mermaid Cafe,GAME_BOARD,NA,1.0.0,"game - similar to 244497, just different environment (king triton and ariel)"
10137,31,Dashlane Free Password Manager,PRODUCTIVITY,NA,26/07/2017,password manager
59642,31,Skyline Skaters,GAME_ACTION,NA,2.16.1,game
82641,31,Beauty Idol,GAME_ADVENTURE,NA,1.2.0,"game - similar to 244497, just different environment (celebrity)"
170281,31,Tiffany Alvord Dream World,GAME_MUSIC,FAMILY_PRETEND,1.0.0,"game - similar to 244497, just different environment (musician)"
602873,31,Delete Me,PRODUCTIVITY,NA,1.1,delete accounts across the web
666278,31,Beauty Idol for Kakao,GAME_ADVENTURE,NA,1.0.1,"game - similar to 244497, just different environment (celebrity)"
1081966,31,Gun Simulator,GAME_SIMULATION,NA,1.2,game
17128,30,All Social Media apps in one app,SOCIAL,NA,1.3,access all social media from one app
23943,30,Smash Cops Heat,GAME_RACING,NA,1.10.06,game
23950,30,Smash Bandits Racing,GAME_RACING,NA,1.09.07,game
1213807,30,Black & White Launcher (Strong Launcher For Men),PERSONALIZATION,NA,4,app launcher
86669,29,Grumpy Bears,GAME_CASUAL,NA,1.1.09,game
228464,29,Snow Racer Friends Free,GAME_RACING,NA,1.1.11,game
344592,29,Aveiro,TRAVEL_AND_LOCAL,NA,1.5,spanish description
460680,29,McSecure Mobile Security,TOOLS,NA,1.4.5, 'mobile security' app
714410,29,Launch by Quixey Launcher,PERSONALIZATION,NA,3.0.3,app launcher
808942,29,Stay Social !,SOCIAL,NA,2,access all social media from one app
910056,29,Coimbra,TRAVEL_AND_LOCAL,NA,1.5,spanish description
922285,29,Super Site Launcher Lite,TOOLS,NA,1,website launcher
1101227,29,Word Meister Friends Free,GAME_WORD,NA,2.0.07,game
1165278,29,Leiria City Tour,TRAVEL_AND_LOCAL,NA,1.5,tourism city guide
1165279,29,Guarda City Tour,TRAVEL_AND_LOCAL,NA,1.5,tourism city guide
1165280,29,Fátima City Tour,TRAVEL_AND_LOCAL,NA,1.5,tourism city guide
1165281,29,Castelo Branco City Tour,TRAVEL_AND_LOCAL,NA,1.5,tourism city guide
1165282,29,Óbidos City Tour,TRAVEL_AND_LOCAL,NA,1.5,tourism city guide
1165285,29,Viseu City Tour,TRAVEL_AND_LOCAL,NA,1.5,tourism city guide
29941,28,Galaga Special Edition Free,GAME_ACTION,NA,1.1.1,game
35360,28,Touch Racing 2 - Mini RC Race,GAME_RACING,FAMILY_ACTION,1.4.2.1,game
48394,28,Zorpia: Dating with free chat,SOCIAL,NA,3.6.11,dating
49522,28,4 Pics 1 Movie!,GAME_PUZZLE,NA,10/04/2014,quiz
61121,28,Chhota Bheem Surfer  - Mumbai,GAME_CASUAL,NA,1.1,game - states in the description that it records audio to profile the user and serve the best ads
94221,28,Flight Control Demo,GAME_CASUAL,NA,5.3,game
197753,28,ZeRound2,HEALTH_AND_FITNESS,NA,2.0.1(105),smartwatch control app
238707,28,Creature Racer,GAME_RACING,NA,1.2.20,game
487426,28,GayBots,GAME_CARD,NA,1.2.01,game
923635,28,Zombie Escape Driving 3D,GAME_SIMULATION,NA,1.1,game
1135437,28,Renman Music & Business,ENTERTAINMENT,NA,2.1-22-01,music info site
1228114,28,COSIGN,LIFESTYLE,NA,1.2.1,share images of products
1286400,28,Beachfront Builder,PRODUCTIVITY,NA,2.1-08-02,app to simulate apps