genre,numApps,mean,median,mode,min,max,SD,pctMoreThan20,pctNone
GAME_CASINO,4007,26.2,24,31,0,100,15.86,60.57,2.6
DATING,980,22.7,21,32,0,119,15.28,50.31,1.84
GAME_ROLE_PLAYING,3219,28.5,21,0,0,3221,101.55,51.63,4.94
NEWS_AND_MAGAZINES,25410,26.6,21,50,0,3610,63.65,51.16,1.55
GAME_SIMULATION,16863,24.7,20,10,0,1927,34.82,47.59,1.8
GAME_ACTION,15941,22.5,18,0,0,3076,47.26,42.88,4.75
GAME_RACING,7858,21.7,18,19,0,2089,38.28,39.83,2.33
GAME_TRIVIA,5845,25.3,18,18,0,2447,37.28,42.12,2.46
GAME_WORD,2859,23.7,18,10,0,1317,34.97,42.53,2.48
PARENTING,803,20.8,18,11,0,150,15.43,43.96,1.62
GAME_STRATEGY,3604,21.3,17,0,0,1614,33.44,40.21,6.6
PHOTOGRAPHY,21330,20,17,10,0,5024,55.84,36.44,2.63
GAME_ADVENTURE,11461,18.8,16,19,0,3120,40.93,30.78,4.48
SHOPPING,13550,20.5,16,1,0,2900,49.88,39.81,3.45
TRAVEL_AND_LOCAL,28799,20.4,16,1,0,2772,32.68,39.21,4.05
GAME_CARD,4084,19.9,15,0,0,2256,45.12,34.84,6.76
GAME_CASUAL,27892,20.1,15,0,0,2159,40.77,35.99,6.12
GAME_SPORTS,5058,20.1,15,12,0,1738,32.39,36.89,5.1
SOCIAL,18199,19.3,15,1,0,2424,25.35,36.78,3.61
SPORTS,17608,21.3,15,1,0,3610,66.84,37.39,4.43
ENTERTAINMENT,78416,18.7,14,10,0,3610,38.49,32.57,4.19
FOOD_AND_DRINK,7034,19.5,14,10,0,3610,59.67,32.71,0.84
GAME_BOARD,3631,17.9,14,0,0,1805,36.68,29.8,8.7
GAME_MUSIC,1637,18.7,14,9,0,1745,44.59,32.68,5.62
GAME_PUZZLE,22917,18.6,14,10,0,2051,28.43,31.03,6.67
MUSIC_AND_AUDIO,62191,19.3,14,10,0,4640,48.99,31.35,2.17
PERSONALIZATION,38761,18.3,14,0,0,2386,30.86,34.73,9.06
WEATHER,3488,20.1,14,1,0,1074,29.91,35.26,3.47
AUTO_AND_VEHICLES,2332,17.2,13,1,0,1757,39,32.25,3.34
BEAUTY,2157,17.9,13,11,0,768,21.57,24.9,0.7
COMICS,1708,17.1,13,10,0,1061,29.66,28.1,5.5
EVENTS,1889,16.5,13,1,0,89,14.23,30.6,1.38
GAME_ARCADE,23431,16.7,13,0,0,2396,34.41,26.2,8.25
HEALTH_AND_FITNESS,24700,16.6,13,1,0,2407,21.37,31.51,5.71
MAPS_AND_NAVIGATION,10587,16.8,13,1,0,1932,35.88,31.37,5.64
VIDEO_PLAYERS,10721,17.1,13,0,0,5769,70.55,27.91,7.3
BUSINESS,49381,17.5,12,1,0,2549,23.84,30,5.16
LIFESTYLE,56921,17.4,12,9,0,3262,31.27,29.89,3.64
ART_AND_DESIGN,4976,13.9,11,9,0,81,9.6,18.19,1.99
BOOKS_AND_REFERENCE,55860,15.4,11,10,0,1910,34.27,21.73,4.65
EDUCATION,76954,14.9,11,1,0,2824,25.63,23.17,7.1
FINANCE,18409,14.7,11,1,0,3689,59.58,20.44,5.52
GAME_EDUCATIONAL,10909,16.3,11,0,0,8033,86.47,24.37,10.98
HOUSE_AND_HOME,1845,14.7,11,6,0,81,13.42,24.23,2.98
COMMUNICATION,19006,14.6,10,0,0,1078,18.84,25.52,10.61
MEDICAL,10605,13.1,10,1,0,895,18.14,20.86,8.8
PRODUCTIVITY,24615,14.9,10,0,0,4513,44.04,22.99,10.75
TOOLS,56739,11.7,10,0,0,1644,18.11,16.47,14.28
LIBRARIES_AND_DEMO,2524,10.2,5,0,0,1122,25.35,14.74,24.17